domain,technology,categories,evidence
jcmobilecigars.com,HSTS,Security,header: Strict-Transport-Security
jcmobilecigars.com,Squarespace,CMS,header: server=Squarespace
jcmobilecigars.com,Squarespace Commerce,Ecommerce,header: server=Squarespace
somalidisablesupport.com,Apache HTTP Server,Web servers,header: Server=Apache
somalidisablesupport.com,Elementor,Page builders; WordPress plugins,meta: generator=Elementor 3.27.5; features: additional_c
somalidisablesupport.com,Endurance Page Cache,WordPress plugins; Caching,header: x-endurance-cache-level
somalidisablesupport.com,WordPress,CMS; Blogs,"html: <link rel=[""']stylesheet[""'] [^>]+/wp-(?:content|includes)/ | script: https://somalidisablesupport.com/wp-content/themes/astra/ass"
somalidisablesupport.com,Yoast SEO,SEO; WordPress plugins,html: <!-- This site is optimized with the Yoast (?:WordPress )?SE
somalidisablesupport.com,Sitemap,robots.txt,robots.txt contains 'Sitemap: '
somalidisablesupport.com,PHP,Programming languages,implied by WordPress
somalidisablesupport.com,MySQL,Databases,implied by WordPress
somalidisablesupport.com,SPF,DNS,DNS record contains 'v=spf1'
yourfamilylines.com,Apache HTTP Server,Web servers,header: Server=Apache
yourfamilylines.com,GoDaddy Email,DNS,DNS record contains 'secureserver.net'
szentkristofudvarhaz.hu,Apache HTTP Server,Web servers,header: Server=Apache
szentkristofudvarhaz.hu,WordPress,CMS; Blogs,"html: <link rel=[""']stylesheet[""'] [^>]+/wp-(?:content|includes)/ | header: X-Pingback=https://szentkristofudvarhaz.hu/xmlrpc.p | script: https://szentkristofudvarhaz.hu/wp-content/themes/szentkrist"
szentkristofudvarhaz.hu,PHP,Programming languages,implied by WordPress
szentkristofudvarhaz.hu,MySQL,Databases,implied by WordPress
szentkristofudvarhaz.hu,SPF,DNS,DNS record contains 'v=spf1'
disneystore.com,Akamai,CDN,header: X-Akamai-Transformed
disneystore.com,Akamai Bot Manager,Security,cookie: bm_sz
disneystore.com,Akamai mPulse,RUM,html: <script>[\s\S]*?go-mpulse\.net\/boomerang[\s\S]*?</script>
disneystore.com,Cloudflare,CDN,header: Server=cloudflare | header: cf-cache-status | header: cf-ray
disneystore.com,HSTS,Security,header: Strict-Transport-Security
disneystore.com,HTTP/3,Miscellaneous,"header: Alt-Svc=h3="":443""; ma=93600"
disneystore.com,reCAPTCHA,Security,script: https://www.google.com/recaptcha/api.js?render=explicit
disneystore.com,Salesforce Commerce Cloud,Ecommerce,cookie: dw_dnt | cookie: dwsid
disneystore.com,Sitemap,robots.txt,robots.txt contains 'Sitemap: '
disneystore.com,E-commerce,robots.txt,robots.txt contains '/checkout'
disneystore.com,Boomerang,JavaScript libraries; RUM,implied by Akamai mPulse
disneystore.com,Salesforce,CRM,implied by Salesforce Commerce Cloud
disneystore.com,Google Search Console,DNS,DNS record contains 'google-site-verification'
disneystore.com,SPF,DNS,DNS record contains 'v=spf1'
chavchavadze-m2-41-tbilisi.booked.net,Cloudflare,CDN,header: Server=cloudflare | header: cf-cache-status | header: cf-ray
chavchavadze-m2-41-tbilisi.booked.net,HTTP/3,Miscellaneous,"header: Alt-Svc=h3="":443""; ma=86400"
trs-energycontrol.de,Google Cloud CDN,CDN,header: Via=1.1 google
trs-energycontrol.de,HSTS,Security,header: Strict-Transport-Security
trs-energycontrol.de,HTTP/3,Miscellaneous,"header: Alt-Svc=h3="":443""; ma=2592000"
trs-energycontrol.de,WebsiteBuilder,Page builders,meta: generator=Wix.com Website Builder
trs-energycontrol.de,Wix,CMS; Blogs,header: X-Wix-Request-Id | meta: generator=Wix.com Website Builder
trs-energycontrol.de,Sitemap,robots.txt,robots.txt contains 'Sitemap: '
